time,open,high,low,close
1733036400,647.63,650.62,643.72,645.72
1733040000,645.67,654.24,645.65,651.49
1733043600,651.63,651.78,644.22,646.53
1733047200,646.36,648.06,640.2,643.88
1733050800,643.74,651.54,642.46,651.54
1733054400,650.73,656.84,649.59,652.84
1733058000,653.07,659.1,652.31,654.02
1733061600,653.62,658.52,652.63,655.61
1733065200,655.77,655.77,648.45,649.67
1733068800,650.04,650.59,640.56,640.79
1733072400,640.78,642.92,636.11,641.53
1733076000,641.52,644.94,641.06,642.75
1733079600,642.84,644.05,637.87,639.65
1733083200,639.36,640.34,626.06,631.34
1733086800,631.25,638.9,629.65,638.06
1733090400,638.3,642.88,637.85,641.14
1733094000,641.52,642.58,634.58,636.35
1733097600,636.64,637.98,626.34,629.63
1733101200,629.56,644.72,628.71,643.87
1733104800,643.86,644.48,629.03,634.07
1733108400,634.12,635.25,610,612
1733112000,612.03,618.67,601,613
1733115600,613,614.17,603.79,607.72
1733119200,607.7,612.88,602,612.61
1733122800,612.6,621.59,610.16,611.98
1733126400,611.96,614.47,576.18,592.46
1733130000,592.62,600.9,589.51,600.9
1733133600,600.59,600.59,580.1,581.88
1733137200,581.93,589.17,579.55,586.29
1733140800,586.13,595.91,582.42,584.88
1733144400,586.43,597.15,583.84,596.45
1733148000,596.27,610,590.97,602.26
1733151600,602.61,610,597.42,605.03
1733155200,604.76,609.51,579.71,586.12
1733158800,586.28,589.17,565.99,568.22
1733162400,567.99,586,567.99,583.61
1733166000,583.78,587.36,577.01,585.68
1733169600,585.68,596.2,585.43,588.38
1733173200,588.09,599.06,582.65,594.55
1733176800,594.53,594.63,586.6,592.92
1733180400,592.73,607.87,592.55,606.45
1733184000,606.67,608.63,600.06,604.87
1733187600,604.96,606.71,593.23,593.23
1733191200,593.05,601.05,589.8,600.59
1733194800,600.69,606.54,596.5,603.84
1733198400,603.71,620,601.25,611.27
1733202000,611.46,618.28,609.12,614.43
1733205600,614.51,629,610.53,614.52
1733209200,614.35,623.76,602.45,621.67
1733212800,621.52,628.78,608,611.32
1733216400,611.09,616.93,606,612.36
1733220000,612.35,618.89,597.63,600.02
1733223600,599.99,620.5,598.76,614.03
1733227200,614,615,601.6,608.66
1733230800,608.01,613.01,570.5,581.38
1733234400,581.37,596.24,569,594.72
1733238000,594.61,605,592.73,599.25
1733241600,599.43,606.77,587.11,589.95
1733245200,590.02,603.36,583.11,602.97
1733248800,602.52,610.26,598.72,605.02
1733252400,605.07,606.05,595.22,603.23
1733256000,603.29,611.7,602.02,608.57
1733259600,608.62,614.76,607.67,611.75
1733263200,611.13,618.05,606.01,618.05
1733266800,618.17,624.17,615.65,619.23
1733270400,619.29,629.84,617.36,626.12
1733274000,626.23,637.66,625.37,632.53
1733277600,632.52,635,617.78,623.86
1733281200,623.75,637.72,623.34,631.53
1733284800,631.42,647.35,629.2,647.35
1733288400,647.21,666.66,645.16,659.53
1733292000,658.7,673.35,652,671.25
1733295600,671.43,707.83,671.43,706.9
1733299200,706.88,725,693.92,695
1733302800,695,699.37,688.4,691.78
1733306400,691.75,699.28,686.44,690.15
1733310000,690.25,704.24,690.25,695.09
1733313600,694.81,699.29,681.85,690.79
1733317200,690.79,696.08,683.83,689.22
1733320800,688.78,697.59,680,686.06
1733324400,686.05,705,681.33,698
1733328000,698,701.72,661.3,667.91
1733331600,667.85,679,661.81,672.59
1733335200,672.65,681.68,668.21,676.83
1733338800,676.79,687.79,675.48,678.04
1733342400,678.26,684.71,660.32,667.26
1733346000,667.48,676.99,662.92,673.23
1733349600,673.24,676.26,665,665.32
